model,image_attack,sketch_attack,Clean_IM_Loss,FGSM_IM_Loss,BIM_IM_Loss,Clean_SK_Loss,FGSM_SK_Loss,BIM_SK_Loss,Clean_LA_Loss,FGSM_LA_Loss,BIM_LA_Loss
3V,True,False,0.015393358734475398,0.22073383620496181,0.16519544307765174,0.05967932649242995,0.061639989173258476,0.06119479220306191,0.0009967463971454254,0.014425040276626057,0.006269587905067326
3V,True,False,0.014677115048933057,0.22431589639002567,0.16659679392119145,0.0565699019477084,0.059395260791246365,0.05866308575644306,0.0013100464596638118,0.04506622330726646,0.00954272855795253
3V,True,False,0.015957577874414944,0.24253094914324347,0.18281062179522362,0.05741115929992255,0.05977680182401448,0.05931014478238189,0.0017881343336061976,0.03688393619415776,0.008903863719444037
3V,True,False,0.015271053899920528,0.24016971628719053,0.1812556949072956,0.058963263522523526,0.06160202412162358,0.061060473815448206,0.0010925303999849865,0.029864913210897064,0.008799082630501578
3V,True,False,0.01508160372603674,0.23913050638321873,0.18141635059731115,0.058845500380794016,0.06214487872016612,0.061271300551862445,0.0014227569813814447,0.0370395584065293,0.008638146217240022
3V,True,False,0.014580874832957358,0.241395528987539,0.1835116754622957,0.05645655182156527,0.059444931613872855,0.05902531604243551,0.0027620468222664717,0.04102220272238755,0.013873706983507822
3V,True,False,0.014447007679951596,0.2550656681665194,0.19243305497530425,0.05647276663258632,0.05959480955163143,0.058840798450794395,0.0013399973216239088,0.054790248119446106,0.014370947870956134
3V,True,False,0.015436032351677339,0.2261511333324881,0.1669641189081945,0.058051018287050234,0.06081265775218748,0.05986736216822036,0.0026048562726700077,0.024223640576583143,0.00949717175310552
3V,True,False,0.01631298690059443,0.24856960571408326,0.19048444980840623,0.05784708826451134,0.060321209038044186,0.059997155047423464,0.003362265089800265,0.04006504711271641,0.013411462849805454
3V,False,True,0.014524284994410523,0.015795083941726507,0.016788994132061377,0.05912861400370648,0.07210307408415546,0.0647839804663324,0.0015396105231229899,0.0033970409803902135,0.0034799471452621393
3V,False,True,0.015393358734475398,0.017175659650264557,0.01680335309150568,0.05967932649242995,0.07260794265294361,0.06508891595872086,0.0009967463971454254,0.0014431755875663659,0.0012593656238173059
3V,False,True,0.014677115048933057,0.016194600223044066,0.016236625530667504,0.0565699019477084,0.0693669420436873,0.06198656608382465,0.0013100464596638118,0.003705331960311673,0.003261299996405812
3V,False,True,0.015957577874414944,0.016853569292170835,0.017676341759891433,0.05741115929992255,0.0702454796610768,0.06308004896971715,0.0017881343336061976,0.006592924425355136,0.00575738604488943
3V,False,True,0.015271053899920528,0.01679526438805977,0.01667760526479804,0.058963263522523526,0.0724363688133963,0.06488381062013367,0.0010925303999849865,0.002200728023540063,0.0027757059412295425
3V,False,True,0.01508160372603674,0.01594015681331757,0.015876051155242873,0.058845500380794016,0.07196885972680166,0.06453174467841653,0.0014227569813814447,0.0026016918782970234,0.003068355397160076
3V,False,True,0.014580874832957358,0.015631400611872875,0.016078813435276302,0.05645655182156527,0.0687052135189857,0.061686991574911455,0.0027620468222664717,0.005066650233348416,0.005479700774301535
3V,False,True,0.014447007679951596,0.015971721886670582,0.015964116541480156,0.05647276663258632,0.06956941953564462,0.06233486861877262,0.0013399973216239088,0.004950270566401783,0.005228371669779026
3V,False,True,0.015436032351677339,0.016736154271956783,0.01733696074145877,0.058051018287050234,0.07077545808108553,0.06315092304683644,0.0026048562726700077,0.0051061643839793724,0.004674331015775549
3V,False,True,0.01631298690059443,0.017480424831806906,0.01789106228894405,0.05784708826451134,0.07040137660658619,0.06322544102737315,0.003362265089800265,0.005210612335758222,0.005563781763338273
2V-IS,True,True,0.01555586610940144,0.18081765167218028,0.11744962269285068,0.06653793462325953,0.08919485456573771,0.07786987119439391,,,
2V-IS,True,True,0.01497879124577244,0.17628872884563207,0.11633116567507436,0.06731334386278434,0.09056018201166598,0.07925491348795669,,,
2V-IS,True,True,0.014759990783504413,0.1759170949428956,0.11586968807467742,0.06429541385531469,0.08683658036586421,0.0749021317338451,,,
2V-IS,True,True,0.015992046647386706,0.17092702573057575,0.1118604553451182,0.06484023168202267,0.0845936923682159,0.07123261896711346,,,
2V-IS,True,True,0.015752728020441312,0.1858037849581196,0.12468116504519235,0.06696916274044704,0.09008432635828534,0.0780446374356745,,,
2V-IS,True,True,0.015098899947919128,0.17793894155979462,0.1173369547218485,0.06655498674609596,0.08970013090159228,0.07798351531101906,,,
2V-IS,True,True,0.014748825138347715,0.16001275629761405,0.10477516765959854,0.06346554646995077,0.08492224975656627,0.07250500584624837,,,
2V-IS,True,True,0.014602858121684884,0.1774245804263922,0.11621466387938853,0.06434827724233455,0.08835240240555514,0.07652581498729855,,,
2V-IS,True,True,0.015559577638650606,0.18821679592878948,0.12434258858308922,0.06578992304766818,0.08880972013996435,0.07724666991426009,,,
2V-IS,True,True,0.01637710944720166,0.18083303536687365,0.11823594767025454,0.06569590905868113,0.08870183573313213,0.07671394940995682,,,
2V-IS,True,False,0.01555586610940144,0.1810251841692722,0.11792067341786758,0.06653793462325953,0.06927444006928382,0.06850532838293659,,,
2V-IS,True,False,0.01497879124577244,0.17624781569262918,0.1167703332463964,0.06731334386278434,0.07016614339903698,0.06941355269425337,,,
2V-IS,True,False,0.014759990783504413,0.17604647581433874,0.11536566750329219,0.06429541385531469,0.06663818367521955,0.06598153101605213,,,
2V-IS,True,False,0.015992046647386706,0.17100141430796575,0.11190870439843789,0.06484023168202267,0.06568381443485652,0.06551374971410041,,,
2V-IS,True,False,0.015752728020441312,0.18609199695921333,0.12488599643782433,0.06696916274044704,0.06925439698971543,0.06839147318950016,,,
2V-IS,True,False,0.015098899947919128,0.17783447945239195,0.11742024115317776,0.06655498674609596,0.06921872309304644,0.06855368450774665,,,
2V-IS,True,False,0.014748825138347715,0.16007427383961909,0.10433684124612773,0.06346554646995077,0.06529329658590179,0.06476639530661168,,,
2V-IS,True,False,0.014602858121684884,0.17762010225336486,0.11658920679253203,0.06434827724233455,0.06674425925210659,0.06620829398623677,,,
2V-IS,True,False,0.015559577638650606,0.18899848231991578,0.12494725835799135,0.06578992304766818,0.06825689109136449,0.06754211087720567,,,
2V-IS,True,False,0.01637710944720166,0.18094544539969581,0.11826372569020237,0.06569590905868113,0.06818606093713005,0.06772386904921623,,,
2V-IS,False,True,0.01555586610940144,0.019544624570619985,0.020906982854519397,0.06653793462325953,0.08998503196891768,0.0780624569934109,,,
2V-IS,False,True,0.01497879124577244,0.019776898090230532,0.019880188472870857,0.06731334386278434,0.0906891394506832,0.07895513478150555,,,
2V-IS,False,True,0.014759990783504413,0.019304742399167123,0.019242289026357436,0.06429541385531469,0.08644437017573287,0.07457395372539537,,,
2V-IS,False,True,0.015992046647386706,0.016422873930359076,0.016785172493193324,0.06484023168202267,0.08372555365427042,0.0709318060355034,,,
2V-IS,False,True,0.015752728020441312,0.01907918077419089,0.0197457824337201,0.06696916274044704,0.09015252989591178,0.07788700287965654,,,
2V-IS,False,True,0.015098899947919128,0.019608547673758338,0.019800984702337068,0.06655498674609596,0.08966868964375715,0.07774023735619716,,,
2V-IS,False,True,0.014748825138347715,0.017512630629555093,0.01732012295629518,0.06346554646995077,0.08414802027453383,0.07187927931682708,,,
2V-IS,False,True,0.014602858121684884,0.018691636690826508,0.018834230383255796,0.06434827724233455,0.08857551517540127,0.0763375845789913,,,
2V-IS,False,True,0.015559577638650606,0.020207741410948256,0.021089580933492533,0.06578992304766818,0.08951113665397457,0.0773549075251365,,,
2V-IS,False,True,0.01637710944720166,0.02212149991821709,0.02170913636674944,0.06569590905868113,0.08851568236663639,0.07655750377687877,,,
2V-IL,True,False,0.014172878195744355,0.15301352280748334,0.09589765647829272,,,,0.0007678416174985405,0.1417785700633836,0.16739540513518347
2V-IL,True,False,0.0140533972094576,0.16070167082484582,0.10086240786453846,,,,0.0007324810520304091,0.10811786521038291,0.13774073830465552
2V-IL,True,False,0.013675562342327113,0.15700081387578896,0.09817001991564112,,,,0.0009440870888688591,0.09529959523394867,0.11877345178981018
2V-IL,True,False,0.015420152791011929,0.1593627478900936,0.10067809546712872,,,,0.0008030054232044105,0.1307888728616755,0.15427353822106582
2V-IL,True,False,0.0145745246002653,0.1622118784086647,0.10238962447038397,,,,0.0009161780338685783,0.12256862371181884,0.14133542426947565
2V-IL,True,False,0.014247022397885185,0.1641766924159935,0.1016944073328982,,,,0.0008134087037813218,0.10596758978740187,0.13851140345098528
2V-IL,True,False,0.013330201167666107,0.1569175046791152,0.09946149525334796,,,,0.0009944925764768353,0.09003966403617718,0.11597518964451184
2V-IL,True,False,0.013673628938223431,0.16086978378293268,0.09978646806897927,,,,0.0009730613019710086,0.10320815267124994,0.1266301286395589
2V-IL,True,False,0.015076174750555869,0.15836622195370162,0.098494970414703,,,,0.0010601263887523751,0.18338785333694477,0.2353587189491871
2V-IL,True,False,0.01576936868537251,0.15508431068436876,0.09615502323479129,,,,0.0039484697838363895,0.13232120668360473,0.1787677632713772
1V,True,False,0.012068700894641026,0.13098070891060287,0.07661732853236093,,,,,,
1V,True,False,0.011992196984152834,0.12559502818457033,0.0730745110328974,,,,,,
1V,True,False,0.011486564849018803,0.1256615166840181,0.0722770630810195,,,,,,
1V,True,False,0.012184465834403866,0.12634175692040286,0.07379043401611872,,,,,,
1V,True,False,0.011993280475636837,0.1245651108815709,0.07337390929011828,,,,,,
1V,True,False,0.011452593311918443,0.12636219112958444,0.0747286084617372,,,,,,
1V,True,False,0.011324987160229366,0.12748408599632918,0.07456320477914499,,,,,,
1V,True,False,0.011503091562952029,0.12914928943031204,0.07514200359511394,,,,,,
1V,True,False,0.012170697155757002,0.12926893587937976,0.07585602461719915,,,,,,
1V,True,False,0.012688084214673961,0.1241840196353342,0.06972463876691928,,,,,,
