model,image_attack,sketch_attack,Clean_IM_Loss,BIM_IM_Loss,Clean_SK_Loss,BIM_SK_Loss,Clean_LA_Loss,BIM_LA_Loss
3V,True,False,0.015436032351677339,0.1948935592700147,0.058051018287050234,0.0811734324240958,0.0026048562726700077,1.4012010755144424
3V,True,False,0.01631298690059443,0.2042000291223279,0.05784708826451134,0.08150467406998317,0.003362265089800265,1.8617504186778246
1V,False,True,0.012068700894641026,0.012068700894641026,,,,
1V,False,True,0.011992196984152834,0.011992196984152834,,,,
1V,False,True,0.011486564849018803,0.011486564849018803,,,,
1V,False,True,0.012184465834403866,0.012184465834403866,,,,
1V,False,True,0.011993280475636837,0.011993280475636837,,,,
1V,False,True,0.011452593311918443,0.011452593311918443,,,,
1V,False,True,0.011324987160229366,0.011324987160229366,,,,
1V,False,True,0.011503091562952029,0.011503091562952029,,,,
1V,False,True,0.012170697155757002,0.012170697155757002,,,,
1V,False,True,0.012688084214673961,0.012688084214673961,,,,
2V-IS,False,True,0.01555586610940144,0.10741098786923117,0.06653793462325953,0.0906248087484612,,
2V-IS,False,True,0.01497879124577244,0.0833283543419086,0.06731334386278434,0.08873914772267265,,
2V-IS,False,True,0.014759990783504413,0.15843052228882995,0.06429541385531469,0.09442453584959036,,
2V-IS,False,True,0.015992046647386706,0.11696346302496062,0.06484023168202267,0.09114213082446623,,
2V-IS,False,True,0.015752728020441312,0.12882047196864957,0.06696916274044704,0.09758510735060653,,
2V-IS,False,True,0.015098899947919128,0.06403043259906313,0.06655498674609596,0.0846726665580071,,
2V-IS,False,True,0.014748825138347715,0.09211306840808739,0.06346554646995077,0.08868012154401704,,
2V-IS,False,True,0.014602858121684884,0.14033880374577323,0.06434827724233455,0.09314105728236415,,
2V-IS,False,True,0.015559577638650606,0.1489596719230927,0.06578992304766818,0.09466866626753162,,
2V-IS,False,True,0.01637710944720166,0.06845274069479529,0.06569590905868113,0.0852282170831576,,
2V-IL,False,True,0.014172878195744355,0.014172878195744355,,,0.0007678416174985405,0.0007678416174985405
2V-IL,False,True,0.0140533972094576,0.0140533972094576,,,0.0007324810520304091,0.0007324810520304091
2V-IL,False,True,0.013675562342327113,0.013675562342327113,,,0.0009440870888688591,0.0009440870888688591
2V-IL,False,True,0.015420152791011929,0.015420152791011929,,,0.0008030054232044105,0.0008030054232044105
2V-IL,False,True,0.0145745246002653,0.0145745246002653,,,0.0009161780338685783,0.0009161780338685783
2V-IL,False,True,0.014247022397885185,0.014247022397885185,,,0.0008134087037813218,0.0008134087037813218
2V-IL,False,True,0.013330201167666107,0.013330201167666107,,,0.0009944925764768353,0.0009944925764768353
2V-IL,False,True,0.013673628938223431,0.013673628938223431,,,0.0009730613019710086,0.0009730613019710086
2V-IL,False,True,0.015076174750555869,0.015076174750555869,,,0.0010601263887523751,0.0010601263887523751
2V-IL,False,True,0.01576936868537251,0.01576936868537251,,,0.0039484697838363895,0.0039484697838363895
3V,False,True,0.014524284994410523,0.07326918580833623,0.05912861400370648,0.0734722186478794,0.0015396105231229899,0.429095199980387
3V,False,True,0.015393358734475398,0.08503088541771102,0.05967932649242995,0.07749879735270274,0.0009967463971454254,0.8127228399129901
3V,False,True,0.014677115048933057,0.04010070509515033,0.0565699019477084,0.06504589278218505,0.0013100464596638118,0.08679042703210209
3V,False,True,0.015957577874414944,0.04964052000720814,0.05741115929992255,0.06857298214247098,0.0017881343336061976,0.12267323528738207
3V,False,True,0.015271053899920528,0.05527332333547546,0.058963263522523526,0.07080691498458473,0.0010925303999849865,0.08707716604341803
3V,False,True,0.01508160372603674,0.10818419998396742,0.058845500380794016,0.08294903865646731,0.0014227569813814447,2.239245337815115
3V,False,True,0.014580874832957358,0.09610796958906559,0.05645655182156527,0.07735027021794673,0.0027620468222664717,0.8766603619719339
3V,False,True,0.014447007679951596,0.12357662948266981,0.05647276663258632,0.08040312138630674,0.0013399973216239088,1.3986696952940265
3V,False,True,0.015436032351677339,0.05638188265568187,0.058051018287050234,0.069081052926423,0.0026048562726700077,0.2882957631891315
3V,False,True,0.01631298690059443,0.06844789751144664,0.05784708826451134,0.0705766077011547,0.003362265089800265,0.39462265799185947
